Cluster,Household,Person_ID,Age,State,Residence,Education,Edu_Years,Wealth,Marital_Status,Religion,Caste,Media_Exposure
38707,73,1,52,21,2,1,2,2,1,1,991,2
44332,75,3,19,23,2,2,10,4,0,1,991,2
90832,82,4,22,36,2,2,8,4,0,1,991,1
42433,39,3,28,23,2,3,15,3,0,2,991,2
13942,29,1,36,9,2,0,0,1,1,2,991,0
84932,82,1,44,24,2,2,8,2,1,1,991,0
3603,71,2,27,3,2,2,10,5,0,4,991,2
8927,30,3,20,6,2,2,12,5,0,2,991,2
13917,93,9,48,9,2,2,9,5,1,1,991,2
15222,58,1,50,9,2,2,7,5,1,1,991,2
639,92,1,46,1,2,1,4,2,1,2,991,1
85904,96,9,21,24,2,2,12,4,0,1,991,2
80415,13,1,35,12,2,0,0,1,1,1,993,1
30437,50,1,46,18,2,0,0,2,1,1,991,0
52630,89,1,53,27,2,2,7,3,1,1,991,0
28432,73,1,49,15,2,2,6,3,1,3,992,2
15931,66,1,54,9,2,0,0,1,1,1,991,0
828,20,1,42,1,2,2,11,2,1,2,991,2
80914,57,1,39,12,2,2,10,1,1,3,992,2
30230,79,2,39,18,2,0,0,1,1,2,993,0
21709,43,1,51,10,2,1,5,1,1,1,991,2
21314,22,1,33,10,2,3,15,1,1,1,991,2
11513,14,3,23,8,2,2,10,4,1,1,991,2
88442,66,1,52,36,2,3,14,5,1,3,991,2
63909,28,1,34,35,2,2,9,1,1,1,998,2
37617,25,2,34,21,2,1,4,1,1,1,991,1
26910,54,1,42,13,2,2,9,1,1,3,992,2
92219,44,3,35,9,2,0,0,1,1,1,991,0
24231,48,3,39,11,2,3,15,3,1,1,993,2
26537,90,6,17,13,2,2,6,2,0,3,992,2
82913,62,3,25,22,2,2,8,2,0,1,991,1
51407,22,1,42,27,2,0,0,2,1,1,992,0
22931,78,6,16,10,2,2,9,2,0,1,991,2
46814,51,1,45,24,2,2,10,2,1,1,991,2
2231,31,3,17,1,2,2,12,4,0,1,991,2
1812,16,1,41,1,2,2,8,2,1,2,991,1
17005,74,3,23,9,2,2,10,1,0,1,991,2
4712,25,3,30,3,2,2,8,5,1,4,991,2
91509,87,1,28,16,2,2,6,3,1,1,993,0
20208,98,1,53,9,2,2,9,4,1,1,991,2
34441,34,1,41,19,2,3,15,2,1,1,993,2
19108,16,1,41,9,2,2,10,1,1,1,991,2
38107,79,1,54,21,2,2,6,1,1,1,991,2
91016,65,1,40,36,2,0,0,3,1,1,991,0
8714,14,1,39,6,2,2,10,3,1,1,991,2
44332,98,3,26,23,2,3,15,1,0,1,992,2
17822,24,2,19,9,2,3,14,3,0,1,991,2
41731,7,3,17,22,2,2,10,1,0,1,992,2
46115,17,1,32,23,2,0,0,1,1,1,991,0
81142,29,1,38,18,2,1,4,1,1,1,991,0
56924,95,3,20,29,2,3,15,5,0,1,991,2
52941,36,1,53,27,2,2,9,3,1,1,991,2
21328,27,3,42,10,2,1,0,3,1,1,991,0
58232,47,1,41,29,2,2,10,3,1,1,991,2
46811,24,1,49,24,2,2,10,4,1,1,991,2
38205,91,1,34,21,2,2,9,1,1,1,991,2
44032,98,5,15,23,2,2,8,5,0,1,991,2
51529,78,3,18,27,2,2,11,4,0,5,991,2
46134,67,7,38,23,2,2,10,3,1,1,991,2
12223,32,6,21,8,2,2,10,2,1,1,991,2
18012,43,1,52,9,2,0,0,2,3,1,991,0
23411,97,1,44,10,2,0,0,1,1,1,991,0
55814,96,1,28,29,2,2,7,2,1,1,991,2
39718,94,1,45,21,2,2,7,1,1,1,992,2
55913,22,1,41,29,2,0,0,2,1,1,991,0
29718,44,1,48,17,2,1,1,3,1,3,992,1
20245,65,1,32,9,2,0,0,1,5,1,991,1
39510,7,1,37,21,2,1,3,1,1,1,991,0
50023,48,4,28,27,2,1,4,3,0,1,991,2
37440,29,3,27,21,2,3,14,1,0,1,992,2
3906,24,1,40,3,2,2,7,3,1,4,991,2
36130,36,8,17,20,2,2,9,2,0,1,993,2
28832,93,1,34,15,2,2,9,2,1,3,991,2
19942,29,6,16,9,2,2,9,3,0,1,991,2
84907,73,3,32,24,2,2,9,4,1,1,991,2
82424,77,3,26,22,2,2,12,1,0,1,992,2
17542,63,3,34,9,2,1,3,1,0,2,991,1
638,38,1,35,1,2,0,0,5,1,1,991,0
11905,32,4,25,8,2,2,9,3,0,1,991,2
55532,47,3,24,29,2,0,0,4,0,1,991,1
58037,21,9,20,29,2,3,13,2,0,1,991,2
37308,93,3,21,21,2,2,12,1,0,1,991,2
57527,27,4,34,29,2,2,10,4,1,1,991,2
21813,11,1,37,10,2,2,9,2,1,1,991,2
10842,62,1,25,8,2,1,5,1,1,1,991,1
38124,87,1,29,21,2,1,3,1,1,1,991,0
134,56,1,31,1,2,2,9,2,1,2,991,2
86307,22,1,41,24,2,2,9,4,1,1,991,2
85233,13,8,19,24,2,2,7,2,0,1,992,2
34709,73,2,27,20,2,2,6,1,1,1,991,1
89439,37,3,17,36,2,2,10,4,0,1,991,2
19202,95,1,50,9,2,2,10,2,1,1,991,2
36113,96,1,51,20,2,1,3,3,1,1,991,0
30017,88,6,30,18,2,2,12,4,1,1,991,2
37109,97,1,45,21,2,1,4,1,1,1,992,1
20433,11,1,31,10,2,2,8,3,3,1,991,2
45314,34,1,28,23,2,0,0,1,1,1,991,0
33831,31,2,24,19,2,2,10,3,1,1,991,2
7423,26,3,17,6,2,2,9,2,0,1,991,2
37025,10,3,36,21,2,2,10,3,1,1,991,2
18324,24,4,19,9,2,2,12,5,0,2,991,2
43311,14,3,34,23,2,3,17,2,1,1,991,2
16105,74,6,15,9,2,2,10,5,0,1,991,2
15343,16,3,22,9,2,3,15,3,1,1,991,2
58242,45,1,52,29,2,0,0,4,1,1,991,1
87216,74,5,16,17,2,2,7,2,0,96,992,2
25807,30,1,51,12,2,2,7,1,1,96,991,1
26618,88,1,54,13,2,2,8,1,1,3,992,0
1318,44,5,17,1,2,2,12,3,0,2,991,2
92640,69,3,16,9,2,2,8,1,0,2,991,2
2038,98,1,31,1,2,2,9,2,1,1,991,2
4522,19,2,26,3,2,2,12,5,1,4,991,2
36729,20,1,32,20,2,2,10,1,1,3,992,2
26131,14,1,30,13,2,0,0,1,0,3,992,0
57527,38,3,20,29,2,2,12,4,0,1,991,2
26214,53,4,22,13,2,3,15,2,0,3,992,2
38207,22,3,26,21,2,2,9,2,0,1,991,2
11433,34,1,35,8,2,0,0,1,1,1,991,1
3039,28,3,37,2,2,2,12,4,1,1,991,2
36924,24,5,49,20,2,2,10,1,1,1,991,2
35917,46,8,19,20,2,3,14,1,0,1,991,2
49427,38,5,15,25,2,2,10,4,0,1,991,2
22041,76,5,16,10,2,2,7,1,0,1,991,1
88322,12,4,24,36,2,2,12,3,0,1,991,2
8428,20,3,21,6,2,2,8,2,0,1,991,1
49213,34,1,31,24,2,2,8,4,1,1,991,2
87223,93,3,27,17,2,0,0,1,1,3,992,1
7731,29,1,51,6,2,2,12,5,1,1,991,2
16312,56,1,50,9,2,2,9,2,1,1,991,2
15206,2,1,28,9,2,2,9,2,1,1,991,2
18543,29,2,38,9,2,2,10,3,1,1,991,2
3011,92,1,42,2,2,2,12,4,1,1,991,2
34034,63,4,42,19,2,0,0,1,1,1,992,0
29533,5,3,16,17,2,2,9,3,0,3,992,2
23201,95,5,15,10,2,2,9,2,0,1,991,2
59813,57,1,41,32,2,2,10,3,1,1,991,2
11129,81,1,46,8,2,2,9,4,1,1,991,2
46427,26,3,24,23,2,2,9,2,1,1,992,2
91934,63,3,19,16,2,2,12,1,0,1,991,2
2407,96,1,30,2,2,1,3,2,1,1,991,1
89523,11,1,33,36,2,2,7,2,1,1,991,0
24720,2,1,40,12,2,2,12,3,1,3,992,2
23342,77,2,28,10,2,3,15,5,1,1,991,2
15145,96,1,38,9,2,1,2,2,1,1,991,0
33422,12,1,52,19,2,1,4,1,1,1,993,1
13942,77,1,46,9,2,2,9,4,1,1,991,2
1119,19,3,15,1,2,2,9,1,0,2,991,2
11935,69,4,16,8,2,2,8,2,0,1,991,2
43243,81,1,31,23,2,3,17,5,1,1,991,2
82540,53,1,45,22,2,1,2,1,1,1,992,0
12203,41,1,38,8,2,1,5,1,1,1,991,1
46735,32,1,29,23,2,2,11,1,1,1,991,2
92408,16,1,48,9,2,3,15,4,1,2,991,2
14122,58,1,42,9,2,2,8,5,1,1,991,2
20002,53,5,17,9,2,2,10,1,0,1,991,2
11630,20,7,15,8,2,2,7,3,0,1,991,2
87102,51,3,15,17,2,2,8,2,0,3,992,2
1210,78,1,33,1,2,2,8,5,1,2,991,1
18305,93,1,54,9,2,2,7,1,1,1,991,1
7324,63,1,33,6,2,2,10,5,1,1,991,2
9945,77,5,19,8,2,2,9,2,0,1,991,2
47304,96,1,36,24,2,2,8,4,1,1,991,0
87438,83,1,38,17,2,1,2,1,1,2,991,0
81630,80,3,45,18,2,2,9,2,1,1,991,2
838,77,4,16,1,2,2,11,4,0,2,993,2
51422,81,1,45,27,2,2,7,2,1,1,991,2
43222,22,1,39,23,2,2,7,1,0,1,991,0
32029,97,6,16,18,2,2,8,1,0,2,993,2
17634,57,3,22,9,2,2,12,1,0,1,991,2
56230,86,3,48,29,2,2,9,3,1,1,991,2
80343,68,2,27,12,2,2,12,1,1,96,992,2
35841,37,3,21,20,2,2,12,2,0,2,991,2
32910,40,4,27,19,2,2,11,1,0,2,993,2
12844,22,1,30,8,2,1,5,1,1,1,991,1
26010,26,3,20,12,2,2,10,1,0,1,992,2
56642,77,7,37,29,2,2,12,4,1,1,993,2
31028,19,5,45,18,2,2,9,4,1,1,991,2
86605,59,4,15,6,2,2,9,4,0,1,991,2
80645,89,1,30,12,2,3,15,2,1,1,991,2
12824,46,1,26,8,2,2,8,4,1,1,991,0
12323,32,1,32,8,2,2,9,2,1,1,991,2
43745,5,4,18,23,2,3,13,3,0,1,991,2
8904,79,8,21,6,2,2,12,4,0,1,991,2
12040,38,4,24,8,2,3,13,4,1,1,991,2
42603,7,1,44,23,2,0,0,2,1,1,991,0
40008,75,1,47,22,2,2,9,2,5,1,992,2
87318,39,3,25,17,2,2,10,1,0,3,992,2
87123,42,1,38,17,2,1,5,1,1,3,992,0
1410,53,3,25,1,2,3,17,5,0,2,993,2
12714,93,1,46,8,2,0,0,2,1,1,992,1
39710,14,1,24,21,2,2,8,1,1,1,992,2
44544,54,1,30,23,2,2,10,2,1,1,991,2
31903,69,2,31,18,2,2,9,3,1,1,991,2
36606,26,3,19,20,2,2,9,1,0,1,992,2
10418,4,8,26,8,2,3,15,3,1,1,991,2
6635,32,2,46,5,2,2,12,4,1,1,991,2
58124,29,2,54,29,2,2,9,2,1,1,992,2
87630,86,3,24,17,2,2,12,2,0,3,992,2
18440,76,3,15,9,2,2,7,1,0,1,991,2
55402,59,5,29,28,2,3,14,5,0,1,991,2
20743,53,3,17,10,2,2,8,2,0,1,991,2
54618,38,1,32,28,2,2,10,5,1,1,991,2
6307,21,4,23,5,2,2,12,3,0,1,991,2
80645,77,1,51,12,2,0,0,1,1,1,992,0
56703,71,3,53,29,2,2,8,2,1,1,993,1
52831,67,1,48,27,2,1,4,1,1,1,991,2
55710,24,2,30,29,2,2,12,3,1,1,991,2
15532,33,3,23,9,2,0,0,2,1,1,991,0
88230,33,1,40,3,2,2,12,5,1,1,991,2
6711,7,1,33,5,2,2,12,5,1,1,991,2
1812,92,5,23,1,2,2,11,1,0,2,991,2
92738,23,5,15,9,2,2,9,3,0,1,991,2
46717,9,1,31,23,2,1,5,1,1,1,991,1
33916,68,1,29,19,2,2,6,1,1,1,993,2
13239,21,3,19,9,2,2,11,4,0,1,991,2
63730,16,4,15,34,2,2,9,2,0,1,991,2
56229,98,4,17,29,2,2,11,3,0,1,991,2
31013,93,3,24,18,2,2,7,2,1,1,991,1
93213,16,3,23,19,2,2,12,2,1,1,991,2
11445,29,7,33,8,2,2,12,3,1,1,991,2
88102,24,8,26,3,2,2,6,4,0,1,991,2
11208,50,3,27,8,2,2,8,4,1,1,991,2
57411,1,1,39,29,2,2,10,4,1,3,991,2
82722,12,3,15,22,2,2,8,2,0,1,991,2
18906,61,6,26,9,2,3,15,4,0,1,991,2
19133,59,2,20,9,2,2,12,2,0,1,991,2
4213,57,1,48,3,2,2,10,5,1,4,991,2
36539,45,2,28,20,2,2,12,1,1,96,992,2
5313,45,1,42,3,2,0,0,5,0,4,991,0
46029,98,4,24,23,2,2,9,3,0,1,993,2
20110,73,3,15,9,2,2,7,1,0,1,991,1
39435,10,3,44,21,2,1,4,1,1,1,992,2
45606,41,1,48,23,2,1,5,1,3,1,991,1
23810,32,1,40,10,2,2,9,2,1,1,991,2
33406,67,10,23,19,2,0,0,1,1,2,991,0
20629,33,1,35,10,2,1,5,1,1,1,991,2
21738,93,6,16,10,2,2,9,1,0,1,991,2
39240,29,1,41,21,2,2,7,4,1,2,991,2
918,94,3,28,1,2,2,9,3,1,2,993,2
91907,62,1,53,16,2,0,0,2,1,5,992,0
60907,79,1,44,33,2,2,7,3,1,1,991,2
12011,14,4,23,8,2,3,15,3,0,1,991,2
80512,73,4,16,12,2,1,5,1,0,3,992,1
38304,23,1,42,21,2,2,12,4,1,1,991,2
16629,12,1,49,9,2,0,0,2,1,1,991,1
89439,37,1,40,36,2,3,18,4,1,1,991,2
48018,49,2,51,24,2,2,7,4,1,1,991,1
14515,74,1,30,9,2,2,10,2,1,1,991,2
46827,38,1,29,24,2,2,7,4,1,1,991,2
32002,24,1,32,18,2,2,8,1,1,1,992,2
81402,78,2,25,18,2,3,15,4,0,1,991,2
38710,78,3,24,21,2,3,15,2,0,1,991,2
28837,71,1,41,15,2,2,8,3,5,3,992,2
5903,69,3,15,5,2,2,8,3,0,1,991,1
8507,73,1,43,6,2,2,8,4,1,1,991,2
16439,45,3,31,9,2,2,8,1,0,1,991,0
62913,99,1,33,33,2,2,10,3,1,1,991,2
34622,50,3,29,20,2,2,10,1,0,3,992,2
19609,58,3,25,9,2,3,15,2,0,1,991,2
802,78,5,23,1,2,2,11,3,0,2,991,2
37634,11,1,38,21,2,1,3,1,1,1,991,2
57206,61,1,36,29,2,2,12,4,1,1,991,2
6245,89,1,48,5,2,2,7,3,1,1,991,2
50427,98,3,25,27,2,3,15,5,1,1,991,2
7204,23,1,40,6,2,2,10,3,1,1,991,2
87519,19,5,16,17,2,2,9,3,0,3,992,2
54213,45,1,43,28,2,0,0,2,1,1,991,0
90213,37,1,30,36,2,3,17,2,1,1,992,2
90818,94,1,27,36,2,3,17,3,1,1,991,2
86717,93,1,40,23,2,2,7,1,1,1,991,2
43735,23,1,42,23,2,0,0,1,1,1,991,0
90837,50,2,19,36,2,2,7,2,0,1,991,1
2417,24,3,23,2,2,3,16,5,0,1,991,2
88612,35,1,30,36,2,2,10,4,1,2,991,2
38531,51,3,20,21,2,3,14,1,0,1,991,2
83032,19,1,33,22,2,0,0,1,1,1,991,1
19330,51,2,32,9,2,3,15,4,1,1,991,2
51109,75,5,41,27,2,2,12,5,1,1,991,2
55732,73,1,54,29,2,0,0,3,1,1,991,0
82905,71,1,52,22,2,1,4,4,1,1,991,1
48239,70,1,45,24,2,2,12,4,1,1,991,2
87714,64,2,53,17,2,0,0,3,1,3,992,0
82018,38,2,15,18,2,2,8,2,0,2,993,1
34644,70,1,40,20,2,2,10,4,1,1,991,2
33624,83,1,33,19,2,3,15,3,1,1,991,2
57608,95,1,53,29,2,2,9,3,1,1,991,2
25541,76,1,50,12,2,2,9,2,1,96,992,2
34708,98,1,25,20,2,0,0,1,1,1,991,0
43425,79,1,40,23,2,1,5,3,1,1,991,1
82704,29,1,38,22,2,0,0,1,1,1,992,0
46814,31,1,24,24,2,1,1,2,1,1,991,1
37242,59,1,38,21,2,1,5,2,1,1,991,1
6243,29,2,36,5,2,2,12,3,1,1,991,2
44013,64,3,27,23,2,2,11,5,1,1,991,2
51311,24,5,31,27,2,2,9,4,1,5,991,2
92923,83,3,33,9,2,2,8,4,1,1,991,2
44811,14,1,30,23,2,2,7,4,1,1,991,2
19023,14,1,36,9,2,2,8,2,1,1,991,2
41903,38,1,30,23,2,2,8,2,1,1,991,2
91506,43,1,33,16,2,0,0,1,1,1,993,0
19118,1,3,38,9,2,1,2,2,1,1,991,0
37306,41,1,24,21,2,2,9,2,1,1,991,2
940,78,3,18,1,2,2,9,3,0,2,991,2
22240,9,1,29,10,2,1,5,2,1,1,991,0
92941,19,4,17,9,2,2,12,5,0,1,991,2
81507,58,4,15,18,2,2,6,1,0,1,991,1
43529,19,3,20,23,2,2,8,2,1,1,991,1
10242,96,3,41,8,2,2,10,5,1,1,991,2
50218,39,3,17,27,2,2,9,4,0,1,992,2
1123,48,1,29,1,2,2,8,2,1,2,991,2
91725,17,6,38,16,2,2,7,2,1,1,991,2
26113,34,3,33,13,2,1,5,1,1,3,992,1
62807,58,1,42,33,2,2,10,4,1,1,991,2
1511,14,1,36,1,2,3,17,3,0,2,991,2
81823,33,1,45,18,2,2,12,4,1,1,991,2
63933,17,4,16,35,2,2,10,3,0,1,998,2
18208,77,1,52,9,2,0,0,1,1,1,991,0
83531,31,1,42,22,2,1,5,1,1,1,991,1
16008,99,1,45,9,2,1,5,1,1,1,991,0
22642,87,2,16,10,2,2,10,3,0,1,991,2
91221,10,1,51,36,2,2,9,2,1,1,991,2
50629,98,3,17,27,2,2,11,2,0,1,991,2
27627,32,3,22,14,2,2,12,1,0,1,991,2
21001,50,1,32,10,2,0,0,1,1,2,991,0
62227,20,1,28,33,2,2,12,2,1,1,991,2
86023,23,1,54,24,2,2,7,3,3,1,991,2
19818,87,1,36,9,2,2,8,2,1,1,991,1
54427,21,3,15,28,2,2,10,3,0,3,991,2
2232,31,1,43,1,2,2,10,3,1,1,991,2
12619,25,1,41,8,2,2,10,2,1,1,991,2
81513,99,2,22,18,2,2,10,1,0,5,991,2
3424,44,1,45,2,2,2,10,3,1,5,992,2
2927,27,2,31,2,2,3,20,3,1,1,991,2
23342,44,1,52,10,2,2,8,2,1,1,991,0
7731,51,3,22,6,2,3,15,3,0,1,991,2
23413,35,1,46,10,2,0,0,1,1,1,991,0
42732,75,3,22,23,2,2,9,1,1,1,991,2
81034,67,1,47,18,2,2,9,3,1,1,991,2
7838,30,1,32,6,2,1,5,2,1,1,991,2
34039,40,3,15,19,2,2,9,1,0,1,991,2
17119,44,1,27,9,2,3,15,3,1,1,991,2
18619,21,1,37,9,2,1,5,3,1,1,991,1
36606,27,3,25,20,2,3,15,4,0,1,991,2
16025,33,1,40,9,2,2,9,3,1,1,991,2
35434,57,1,41,20,2,0,0,3,1,1,991,0
34637,61,6,19,20,2,2,11,2,0,1,991,2
12825,76,3,30,8,2,3,15,4,1,1,991,2
47002,76,2,48,24,2,2,9,3,1,1,991,2
63132,73,3,38,33,2,3,18,4,1,1,991,2
60605,91,4,20,33,2,2,12,4,0,1,991,2
18927,63,3,19,9,2,2,11,5,0,2,991,2
21202,40,1,52,10,2,1,4,2,1,1,991,0
82907,94,6,21,22,2,2,9,2,0,1,991,2
7904,96,1,35,6,2,0,0,3,1,4,991,2
23715,24,2,38,10,2,2,10,4,1,2,991,2
26002,53,1,45,12,2,2,6,2,5,1,992,1
14643,67,1,49,9,2,2,12,5,1,1,991,2
44333,11,3,21,23,2,2,8,2,0,1,991,1
16124,19,2,22,9,2,2,12,3,1,1,991,2
83033,18,1,47,22,2,0,0,2,1,1,991,0
3910,54,1,52,3,2,2,10,4,1,2,993,2
82602,59,1,32,22,2,2,12,3,1,1,991,2
2213,45,3,36,1,2,2,9,4,1,1,991,2
12315,17,2,39,8,2,1,5,5,1,1,991,1
87604,64,1,40,17,2,1,5,4,1,1,992,1
2339,70,1,31,2,2,2,10,2,1,1,991,2
36611,97,1,53,20,2,0,0,1,3,1,992,0
11618,41,1,54,8,2,0,0,2,1,1,992,0
18332,22,3,26,9,2,2,7,1,1,1,991,0
38714,53,1,29,21,2,2,12,4,1,1,991,2
93022,58,3,20,9,2,3,14,2,0,1,991,2
25803,7,1,30,12,2,3,17,3,0,96,992,2
57913,99,4,22,29,2,1,5,2,0,1,991,2
24213,1,1,42,11,2,0,0,4,1,1,991,0
33117,88,3,17,19,2,2,10,1,0,2,991,2
7137,77,4,16,6,2,2,9,2,0,2,991,2
60840,29,3,28,33,2,1,5,3,1,1,991,2
17218,87,3,35,9,2,3,17,4,1,1,991,2
45829,81,1,40,23,2,0,0,1,1,1,991,0
86533,13,3,40,6,2,2,12,5,1,1,991,2
46513,35,1,52,23,2,0,0,2,1,1,991,0
16715,80,2,21,9,2,3,14,3,0,1,991,2
91221,96,1,38,36,2,2,8,3,1,1,991,1
57206,43,1,38,29,2,2,8,5,1,1,991,2
92102,10,1,50,9,2,1,2,3,1,1,991,1
17622,58,1,50,9,2,2,9,1,1,1,991,2
37121,34,3,17,21,2,2,10,2,0,1,992,2
4524,44,1,39,3,2,0,0,3,1,4,991,0
13223,92,4,18,9,2,2,11,5,0,1,991,2
49830,31,3,41,27,2,2,10,2,1,1,991,2
35434,14,5,15,20,2,2,9,4,0,1,991,2
47037,11,1,36,24,2,3,13,2,1,1,991,2
4719,24,3,30,3,2,3,15,5,1,4,991,2
35810,14,1,34,20,2,0,0,1,1,1,991,0
31326,92,1,35,18,2,2,6,3,1,1,991,0
55507,50,2,42,29,2,2,10,2,1,1,991,2
10932,98,4,15,8,2,2,8,3,0,1,991,2
39708,85,2,17,21,2,0,0,1,0,1,992,1
12423,83,4,17,8,2,2,10,1,0,1,992,2
12619,97,1,48,8,2,2,8,5,1,1,991,2
17740,31,1,38,9,2,2,9,1,1,1,991,2
413,16,1,32,37,2,2,7,2,1,2,992,1
21722,79,1,34,10,2,2,8,2,1,1,991,2
44817,6,1,50,23,2,1,5,5,1,1,991,0
1929,97,2,28,1,2,2,12,3,1,2,991,2
63917,44,1,27,35,2,3,17,5,0,1,998,2
26404,55,3,21,13,2,2,8,2,0,3,992,1
428,59,3,36,37,2,3,15,4,1,2,992,2
36544,4,1,42,20,2,0,0,2,1,2,991,1
44809,59,7,17,23,2,1,5,2,0,1,991,0
24140,29,4,37,11,2,1,5,2,0,1,991,2
44939,82,2,27,23,2,2,7,3,1,1,991,1
52722,61,3,26,27,2,2,10,3,1,1,991,2
